user: luis, time:2024-05-08 21:05:34.229097 -05:00 
user: jose, time:2024-05-08 21:05:34.229308 -05:00 
user: pedro, time:2024-05-08 21:05:34.229323 -05:00 
user: juan, time:2024-05-08 21:05:34.229335 -05:00 
user: maria, time:2024-05-08 21:05:34.229353 -05:00 
user: marck, time:2024-05-08 21:05:34.229424 -05:00 
user: gerardo, time:2024-05-08 21:05:34.229436 -05:00 
user: rene, time:2024-05-08 21:05:34.229448 -05:00 
user: josefa, time:2024-05-08 21:05:34.229461 -05:00 
user: pepe, time:2024-05-08 21:05:34.229470 -05:00 
user: a, time:2024-05-08 21:05:52.335792 -05:00 
user: b, time:2024-05-08 21:05:52.335980 -05:00 
user: c, time:2024-05-08 21:05:52.335998 -05:00 
user: d, time:2024-05-08 21:05:52.336009 -05:00 
user: e, time:2024-05-08 21:05:52.336023 -05:00 
user: g, time:2024-05-08 21:05:52.336033 -05:00 
user: h, time:2024-05-08 21:05:52.336050 -05:00 
user: i, time:2024-05-08 21:05:52.336061 -05:00 
user: j, time:2024-05-08 21:05:52.336074 -05:00 
user: f, time:2024-05-08 21:05:52.336084 -05:00 
